,date,close
557,17/04/2017,1733.93
558,18/04/2017,1740.6
559,19/04/2017,1738.95
560,20/04/2017,1741.61
561,21/04/2017,1756.05
562,25/04/2017,1765.8
563,26/04/2017,1768.92
564,27/04/2017,1767.92
565,28/04/2017,1768.06
566,02/05/2017,1778.47
567,03/05/2017,1772.51
568,04/05/2017,1758.67
569,05/05/2017,1762.74
570,08/05/2017,1768.15
571,09/05/2017,1766.56
572,11/05/2017,1775.39
573,12/05/2017,1775.87
574,15/05/2017,1778.65
575,16/05/2017,1778.15
576,17/05/2017,1775.65
577,18/05/2017,1767.17
578,19/05/2017,1768.28
579,22/05/2017,1774.95
580,23/05/2017,1767.17
581,24/05/2017,1771.01
582,25/05/2017,1773.96
583,26/05/2017,1772.3
584,29/05/2017,1764.89
585,31/05/2017,1765.87
586,01/06/2017,1763.11
587,02/06/2017,1776.95
588,05/06/2017,1787.95
589,06/06/2017,1791.01
590,07/06/2017,1785.92
591,08/06/2017,1785.57
592,09/06/2017,1788.89
593,13/06/2017,1784.44
594,14/06/2017,1792.35
595,15/06/2017,1790.01
596,16/06/2017,1791.31
597,19/06/2017,1788.9
598,20/06/2017,1780.71
599,21/06/2017,1775.57
600,22/06/2017,1777.43
601,23/06/2017,1779.45
602,28/06/2017,1771.23
603,29/06/2017,1771.36
604,30/06/2017,1763.67
605,03/07/2017,1768.67
606,04/07/2017,1762.08
607,05/07/2017,1768.16
608,06/07/2017,1770.53
609,07/07/2017,1759.93
610,10/07/2017,1757.13
611,11/07/2017,1755.03
612,12/07/2017,1757.24
613,13/07/2017,1753.78
614,14/07/2017,1755
615,17/07/2017,1755.19
616,18/07/2017,1754.92
617,19/07/2017,1757.27
618,20/07/2017,1755.63
619,21/07/2017,1759.16
620,24/07/2017,1761.99
621,25/07/2017,1763.34
622,26/07/2017,1766
623,27/07/2017,1770.07
624,28/07/2017,1767.08
625,31/07/2017,1760.03
626,01/08/2017,1765.13
627,02/08/2017,1770.61
628,03/08/2017,1771.9
629,04/08/2017,1774.53
630,07/08/2017,1777.91
631,08/08/2017,1781.65
632,09/08/2017,1777.94
633,10/08/2017,1777.77
634,11/08/2017,1766.96
635,14/08/2017,1771.08
636,15/08/2017,1772.39
637,16/08/2017,1773.75
638,17/08/2017,1776.31
639,18/08/2017,1776.22
640,21/08/2017,1771.62
641,22/08/2017,1774.22
642,23/08/2017,1772.94
643,24/08/2017,1775.5
644,25/08/2017,1769.17
645,28/08/2017,1769.49
646,29/08/2017,1761.14
647,30/08/2017,1773.16
648,05/09/2017,1769.63
649,06/09/2017,1772.48
650,07/09/2017,1782.98
651,08/09/2017,1779.9
652,11/09/2017,1782.74
653,12/09/2017,1789.86
654,13/09/2017,1786.07
655,14/09/2017,1781.37
656,15/09/2017,1786.33
657,18/09/2017,1783.66
658,19/09/2017,1776.66
659,20/09/2017,1773.58
660,21/09/2017,1771.04
661,25/09/2017,1769.14
662,26/09/2017,1765.59
663,27/09/2017,1764.24
664,28/09/2017,1758.06
665,29/09/2017,1755.58
666,02/10/2017,1754.78
667,03/10/2017,1759.67
668,04/10/2017,1761.84
669,05/10/2017,1759.09
670,06/10/2017,1764
671,09/10/2017,1764.03
672,10/10/2017,1761.13
673,11/10/2017,1757.21
674,12/10/2017,1754
675,13/10/2017,1755.32
676,16/10/2017,1754.37
677,17/10/2017,1748.99
678,19/10/2017,1743.99
679,20/10/2017,1740.65
680,23/10/2017,1741.47
681,24/10/2017,1736.14
682,25/10/2017,1739.05
683,26/10/2017,1736.8
684,27/10/2017,1746.13
685,30/10/2017,1748.35
686,31/10/2017,1747.92
687,01/11/2017,1743.93
688,02/11/2017,1741.05
689,03/11/2017,1740.93
690,06/11/2017,1742.29
691,07/11/2017,1750.94
692,08/11/2017,1744.2
693,09/11/2017,1746.81
694,10/11/2017,1742.28
695,13/11/2017,1737.49
696,14/11/2017,1733.61
697,15/11/2017,1722.99
698,16/11/2017,1718.11
699,17/11/2017,1721.66
700,20/11/2017,1718.36
701,21/11/2017,1720.68
